"Monthly age-standardised mortality rates by vaccination status by age group for all cause deaths, deaths involving COVID-19 and deaths not involving COVID-19, per 100,000 person-years, England, deaths occurring between 1 January 2021 and 31 May 2022"										
This worksheet contains 1 table.										
"Source: Source: Office for National Statistics, National Immunisation Management Service."										
Cause of Death	Year	Month	Age group	Vaccination status	Count of deaths	Person-years	"Age-standardised mortality rate / 100,000 person-years"	Noted as Unreliable	Lower confidence limit	Upper confidence limit
Non-COVID-19 deaths	2021	May	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	70-79	Unvaccinated	580	11371	5306.9		4869.8	5743.9
Non-COVID-19 deaths	2021	May	70-79	"First dose, less than 21 days ago"	27	416	6520.6		4280.6	9509.3
Non-COVID-19 deaths	2021	May	70-79	"First dose, at least 21 days ago"	2022	11851	18948.9		18097.3	19800.4
Non-COVID-19 deaths	2021	May	70-79	"Second dose, less than 21 days ago"	1036	86880	1415.7		1323.1	1508.2
Non-COVID-19 deaths	2021	May	70-79	"Second dose, at least 21 days ago"	3977	253109	1533.0		1485.2	1580.8
Non-COVID-19 deaths	2021	May	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	80-89	Unvaccinated	507	4802	10451.6		9541.0	11362.1
Non-COVID-19 deaths	2021	May	80-89	"First dose, less than 21 days ago"	28	179	15072.8		9994.8	21812.1
Non-COVID-19 deaths	2021	May	80-89	"First dose, at least 21 days ago"	1975	4154	46713.9		44636.6	48791.2
Non-COVID-19 deaths	2021	May	80-89	"Second dose, less than 21 days ago"	754	9648	7727.8		7175.7	8280.0
Non-COVID-19 deaths	2021	May	80-89	"Second dose, at least 21 days ago"	8034	154715	5176.9		5063.7	5290.1
Non-COVID-19 deaths	2021	May	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	90+	Unvaccinated	320	1402	22817.4		20385.5	25459.5
Non-COVID-19 deaths	2021	May	90+	"First dose, less than 21 days ago"	5	71	7033.5	u	2266.6	16413.8
Non-COVID-19 deaths	2021	May	90+	"First dose, at least 21 days ago"	1057	1446	73120.4		68778.1	77665.0
Non-COVID-19 deaths	2021	May	90+	"Second dose, less than 21 days ago"	496	2854	17376.1		15880.3	18974.8
Non-COVID-19 deaths	2021	May	90+	"Second dose, at least 21 days ago"	5203	32342	16087.4		15653.2	16530.6
Non-COVID-19 deaths	2021	May	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	May	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	18-39	Unvaccinated	176	433417	50.6		42.6	58.6
Non-COVID-19 deaths	2021	June	18-39	"First dose, less than 21 days ago"	22	148043	13.8		8.6	21.0
Non-COVID-19 deaths	2021	June	18-39	"First dose, at least 21 days ago"	89	130744	73.8		56.7	94.0
Non-COVID-19 deaths	2021	June	18-39	"Second dose, less than 21 days ago"	14	53452	25.2	u	13.6	42.6
Non-COVID-19 deaths	2021	June	18-39	"Second dose, at least 21 days ago"	114	153194	72.1		58.5	85.7
Non-COVID-19 deaths	2021	June	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	40-49	Unvaccinated	174	71044	255.1		216.8	293.3
Non-COVID-19 deaths	2021	June	40-49	"First dose, less than 21 days ago"	13	14538	132.6	u	70.0	227.7
Non-COVID-19 deaths	2021	June	40-49	"First dose, at least 21 days ago"	172	164914	105.2		89.5	121.0
Non-COVID-19 deaths	2021	June	40-49	"Second dose, less than 21 days ago"	48	70956	65.8		48.1	87.8
Non-COVID-19 deaths	2021	June	40-49	"Second dose, at least 21 days ago"	251	130983	188.2		164.7	211.6
Non-COVID-19 deaths	2021	June	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	50-59	Unvaccinated	304	43139	714.9		634.3	795.4
Non-COVID-19 deaths	2021	June	50-59	"First dose, less than 21 days ago"	12	2501	494.2	u	252.5	867.5
Non-COVID-19 deaths	2021	June	50-59	"First dose, at least 21 days ago"	390	55130	740.4		666.5	814.4
Non-COVID-19 deaths	2021	June	50-59	"Second dose, less than 21 days ago"	173	159050	108.1		92.0	124.3
Non-COVID-19 deaths	2021	June	50-59	"Second dose, at least 21 days ago"	882	267955	322.5		301.1	343.9
Non-COVID-19 deaths	2021	June	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	60-69	Unvaccinated	352	22861	1579.0		1412.1	1745.8
Non-COVID-19 deaths	2021	June	60-69	"First dose, less than 21 days ago"	8	899	1012.9	u	423.4	2019.3
Non-COVID-19 deaths	2021	June	60-69	"First dose, at least 21 days ago"	659	13467	5968.2		5478.1	6458.2
Non-COVID-19 deaths	2021	June	60-69	"Second dose, less than 21 days ago"	230	61371	568.5		479.8	657.1
Non-COVID-19 deaths	2021	June	60-69	"Second dose, at least 21 days ago"	2249	333623	662.8		635.3	690.3
Non-COVID-19 deaths	2021	June	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	70-79	Unvaccinated	453	10565	4421.3		4009.2	4833.3
Non-COVID-19 deaths	2021	June	70-79	"First dose, less than 21 days ago"	15	299	5110.6	u	2843.9	8453.4
Non-COVID-19 deaths	2021	June	70-79	"First dose, at least 21 days ago"	874	3423	25986.0		24255.9	27716.2
Non-COVID-19 deaths	2021	June	70-79	"Second dose, less than 21 days ago"	184	3507	5608.0		4776.2	6439.9
Non-COVID-19 deaths	2021	June	70-79	"Second dose, at least 21 days ago"	5976	335020	1799.2		1753.6	1844.9
Non-COVID-19 deaths	2021	June	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	80-89	Unvaccinated	474	4423	10622.9		9665.7	11580.1
Non-COVID-19 deaths	2021	June	80-89	"First dose, less than 21 days ago"	8	128	6272.5	u	2708.0	12359.4
Non-COVID-19 deaths	2021	June	80-89	"First dose, at least 21 days ago"	815	1743	45747.9		42575.0	48920.9
Non-COVID-19 deaths	2021	June	80-89	"Second dose, less than 21 days ago"	148	1243	11676.4		9784.6	13568.1
Non-COVID-19 deaths	2021	June	80-89	"Second dose, at least 21 days ago"	9244	160568	5732.0		5615.2	5848.9
Non-COVID-19 deaths	2021	June	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	90+	Unvaccinated	286	1289	22180.1		19683.7	24905.5
Non-COVID-19 deaths	2021	June	90+	"First dose, less than 21 days ago"	6	38	15659.2	u	5718.0	34084.5
Non-COVID-19 deaths	2021	June	90+	"First dose, at least 21 days ago"	449	641	70017.9		63690.2	76804.1
Non-COVID-19 deaths	2021	June	90+	"Second dose, less than 21 days ago"	104	412	25213.7		20600.9	30551.0
Non-COVID-19 deaths	2021	June	90+	"Second dose, at least 21 days ago"	5545	34772	15946.5		15529.5	16371.9
Non-COVID-19 deaths	2021	June	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	June	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	18-39	Unvaccinated	137	277517	55.6		46.1	65.1
Non-COVID-19 deaths	2021	July	18-39	"First dose, less than 21 days ago"	26	99290	49.3		26.2	80.3
Non-COVID-19 deaths	2021	July	18-39	"First dose, at least 21 days ago"	106	277354	38.3		31.0	45.6
Non-COVID-19 deaths	2021	July	18-39	"Second dose, less than 21 days ago"	8	61429	10.4	u	3.1	22.7
Non-COVID-19 deaths	2021	July	18-39	"Second dose, at least 21 days ago"	190	233340	78.2		66.8	89.5
Non-COVID-19 deaths	2021	July	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	40-49	Unvaccinated	157	66425	249.0		209.7	288.2
Non-COVID-19 deaths	2021	July	40-49	"First dose, less than 21 days ago"	3	4332	67.3	u	12.9	199.0
Non-COVID-19 deaths	2021	July	40-49	"First dose, at least 21 days ago"	110	64265	189.3		153.0	225.5
Non-COVID-19 deaths	2021	July	40-49	"Second dose, less than 21 days ago"	46	83938	54.8		40.1	73.1
Non-COVID-19 deaths	2021	July	40-49	"Second dose, at least 21 days ago"	417	247911	163.7		147.8	179.6
Non-COVID-19 deaths	2021	July	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	50-59	Unvaccinated	274	42150	655.0		577.3	732.7
Non-COVID-19 deaths	2021	July	50-59	"First dose, less than 21 days ago"	3	1632	216.5	u	44.6	632.6
Non-COVID-19 deaths	2021	July	50-59	"First dose, at least 21 days ago"	245	13644	1879.2		1641.3	2117.1
Non-COVID-19 deaths	2021	July	50-59	"Second dose, less than 21 days ago"	35	16113	240.5		165.9	336.4
Non-COVID-19 deaths	2021	July	50-59	"Second dose, at least 21 days ago"	1305	471815	273.6		258.7	288.5
Non-COVID-19 deaths	2021	July	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	60-69	Unvaccinated	341	22759	1545.7		1379.9	1711.5
Non-COVID-19 deaths	2021	July	60-69	"First dose, less than 21 days ago"	4	600	714.8	u	180.0	1861.9
Non-COVID-19 deaths	2021	July	60-69	"First dose, at least 21 days ago"	382	5575	7484.0		6718.4	8249.5
Non-COVID-19 deaths	2021	July	60-69	"Second dose, less than 21 days ago"	57	3688	1755.4		1300.3	2310.0
Non-COVID-19 deaths	2021	July	60-69	"Second dose, at least 21 days ago"	3011	414635	729.8		703.7	755.9
Non-COVID-19 deaths	2021	July	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	70-79	Unvaccinated	348	10632	3413.5		3050.6	3776.4
Non-COVID-19 deaths	2021	July	70-79	"First dose, less than 21 days ago"	3	206	1568.3	u	314.7	4604.3
Non-COVID-19 deaths	2021	July	70-79	"First dose, at least 21 days ago"	509	2368	21758.2		19862.3	23654.2
Non-COVID-19 deaths	2021	July	70-79	"Second dose, less than 21 days ago"	49	860	5801.4		4282.4	7681.5
Non-COVID-19 deaths	2021	July	70-79	"Second dose, at least 21 days ago"	7223	351365	2072.7		2024.9	2120.5
Non-COVID-19 deaths	2021	July	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	80-89	Unvaccinated	450	4422	10068.0		9136.7	10999.2
Non-COVID-19 deaths	2021	July	80-89	"First dose, less than 21 days ago"	8	79	10125.4	u	4371.4	19951.2
Non-COVID-19 deaths	2021	July	80-89	"First dose, at least 21 days ago"	509	1241	40214.2		36686.5	43741.8
Non-COVID-19 deaths	2021	July	80-89	"Second dose, less than 21 days ago"	54	388	13740.7		10301.0	17954.8
Non-COVID-19 deaths	2021	July	80-89	"Second dose, at least 21 days ago"	10711	167672	6351.4		6231.0	6471.7
Non-COVID-19 deaths	2021	July	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	90+	Unvaccinated	283	1289	21949.6		19466.4	24661.7
Non-COVID-19 deaths	2021	July	90+	"First dose, less than 21 days ago"	<3	23	x		x	x
Non-COVID-19 deaths	2021	July	90+	"First dose, at least 21 days ago"	278	454	61298.3		54303.4	68944.3
Non-COVID-19 deaths	2021	July	90+	"Second dose, less than 21 days ago"	35	138	25377.7		17673.8	35295.4
Non-COVID-19 deaths	2021	July	90+	"Second dose, at least 21 days ago"	6723	36702	18317.9		17882.6	18761.1
Non-COVID-19 deaths	2021	July	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	July	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	18-39	Unvaccinated	102	240743	45.1		36.2	54.0
Non-COVID-19 deaths	2021	August	18-39	"First dose, less than 21 days ago"	3	20392	17.4	u	2.2	54.1
Non-COVID-19 deaths	2021	August	18-39	"First dose, at least 21 days ago"	77	220981	49.5		38.0	63.1
Non-COVID-19 deaths	2021	August	18-39	"Second dose, less than 21 days ago"	20	127428	16.1		9.8	25.0
Non-COVID-19 deaths	2021	August	18-39	"Second dose, at least 21 days ago"	177	338900	49.8		42.0	57.6
Non-COVID-19 deaths	2021	August	18-39	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	40-49	Unvaccinated	133	63270	216.6		179.4	253.7
Non-COVID-19 deaths	2021	August	40-49	"First dose, less than 21 days ago"	5	2049	277.1	u	88.5	649.5
Non-COVID-19 deaths	2021	August	40-49	"First dose, at least 21 days ago"	83	21568	413.0		327.7	513.5
Non-COVID-19 deaths	2021	August	40-49	"Second dose, less than 21 days ago"	13	23882	61.8	u	31.6	107.7
Non-COVID-19 deaths	2021	August	40-49	"Second dose, at least 21 days ago"	380	355584	104.6		94.1	115.2
Non-COVID-19 deaths	2021	August	40-49	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	50-59	Unvaccinated	207	40770	513.1		443.1	583.1
Non-COVID-19 deaths	2021	August	50-59	"First dose, less than 21 days ago"	<3	934	x		x	x
Non-COVID-19 deaths	2021	August	50-59	"First dose, at least 21 days ago"	163	9818	1720.7		1454.9	1986.4
Non-COVID-19 deaths	2021	August	50-59	"Second dose, less than 21 days ago"	18	3604	441.9	u	259.8	701.4
Non-COVID-19 deaths	2021	August	50-59	"Second dose, at least 21 days ago"	1362	490246	273.6		259.0	288.1
Non-COVID-19 deaths	2021	August	50-59	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	60-69	Unvaccinated	262	22259	1223.0		1073.4	1372.5
Non-COVID-19 deaths	2021	August	60-69	"First dose, less than 21 days ago"	4	360	1047.0	u	263.5	2727.3
Non-COVID-19 deaths	2021	August	60-69	"First dose, at least 21 days ago"	247	4356	5911.5		5160.2	6662.7
Non-COVID-19 deaths	2021	August	60-69	"Second dose, less than 21 days ago"	10	1244	913.6	u	424.9	1701.4
Non-COVID-19 deaths	2021	August	60-69	"Second dose, at least 21 days ago"	3107	419675	745.1		718.9	771.3
Non-COVID-19 deaths	2021	August	60-69	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	70-79	Unvaccinated	358	10473	3611.1		3232.9	3989.4
Non-COVID-19 deaths	2021	August	70-79	"First dose, less than 21 days ago"	8	118	7156.1	u	3027.0	14206.9
Non-COVID-19 deaths	2021	August	70-79	"First dose, at least 21 days ago"	278	1967	14442.8		12739.9	16145.7
Non-COVID-19 deaths	2021	August	70-79	"Second dose, less than 21 days ago"	24	409	6148.0		3928.9	9161.5
Non-COVID-19 deaths	2021	August	70-79	"Second dose, at least 21 days ago"	7250	353150	2066.6		2019.0	2114.2
Non-COVID-19 deaths	2021	August	70-79	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	80-89	Unvaccinated	405	4325	9287.3		8381.8	10192.8
Non-COVID-19 deaths	2021	August	80-89	"First dose, less than 21 days ago"	4	48	8209.2	u	2217.8	21059.4
Non-COVID-19 deaths	2021	August	80-89	"First dose, at least 21 days ago"	340	1022	32376.9		28903.9	35849.9
Non-COVID-19 deaths	2021	August	80-89	"Second dose, less than 21 days ago"	20	179	11011.4		6714.4	17022.6
Non-COVID-19 deaths	2021	August	80-89	"Second dose, at least 21 days ago"	10487	168330	6191.9		6073.4	6310.4
Non-COVID-19 deaths	2021	August	80-89	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	90+	Unvaccinated	279	1265	22050.2		19538.3	24795.4
Non-COVID-19 deaths	2021	August	90+	"First dose, less than 21 days ago"	4	11	34827.2	u	9369.6	89165.2
Non-COVID-19 deaths	2021	August	90+	"First dose, at least 21 days ago"	197	367	53732.1		46489.9	61782.4
Non-COVID-19 deaths	2021	August	90+	"Second dose, less than 21 days ago"	6	62	9711.9	u	3546.4	21139.5
Non-COVID-19 deaths	2021	August	90+	"Second dose, at least 21 days ago"	6818	37036	18409.1		17974.7	18851.4
Non-COVID-19 deaths	2021	August	90+	"Third dose or booster, less than 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	August	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	18-39	Unvaccinated	94	217372	45.9		36.9	56.3
Non-COVID-19 deaths	2021	September	18-39	"First dose, less than 21 days ago"	<3	10393	x		x	x
Non-COVID-19 deaths	2021	September	18-39	"First dose, at least 21 days ago"	47	94178	69.8		49.9	94.6
Non-COVID-19 deaths	2021	September	18-39	"Second dose, less than 21 days ago"	10	88797	13.1	u	4.8	26.5
Non-COVID-19 deaths	2021	September	18-39	"Second dose, at least 21 days ago"	201	505939	38.0		32.7	43.3
Non-COVID-19 deaths	2021	September	18-39	"Third dose or booster, less than 21 days ago"	<3	697	x		x	x
Non-COVID-19 deaths	2021	September	18-39	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	40-49	Unvaccinated	88	59482	155.0		124.0	191.2
Non-COVID-19 deaths	2021	September	40-49	"First dose, less than 21 days ago"	4	1297	344.4	u	91.6	886.8
Non-COVID-19 deaths	2021	September	40-49	"First dose, at least 21 days ago"	64	14386	472.8		363.2	604.9
Non-COVID-19 deaths	2021	September	40-49	"Second dose, less than 21 days ago"	4	5196	90.7	u	23.7	234.4
Non-COVID-19 deaths	2021	September	40-49	"Second dose, at least 21 days ago"	480	369764	128.2		116.7	139.7
Non-COVID-19 deaths	2021	September	40-49	"Third dose or booster, less than 21 days ago"	<3	804	x		x	x
Non-COVID-19 deaths	2021	September	40-49	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	50-59	Unvaccinated	200	38622	521.1		448.8	593.5
Non-COVID-19 deaths	2021	September	50-59	"First dose, less than 21 days ago"	<3	607	x		x	x
Non-COVID-19 deaths	2021	September	50-59	"First dose, at least 21 days ago"	118	8036	1518.2		1243.0	1793.5
Non-COVID-19 deaths	2021	September	50-59	"Second dose, less than 21 days ago"	7	1719	409.9	u	162.0	849.5
Non-COVID-19 deaths	2021	September	50-59	"Second dose, at least 21 days ago"	1483	476920	307.7		292.0	323.4
Non-COVID-19 deaths	2021	September	50-59	"Third dose or booster, less than 21 days ago"	<3	1665	x		x	x
Non-COVID-19 deaths	2021	September	50-59	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	60-69	Unvaccinated	311	21275	1500.8		1332.3	1669.2
Non-COVID-19 deaths	2021	September	60-69	"First dose, less than 21 days ago"	3	232	1534.8	u	284.4	4563.0
Non-COVID-19 deaths	2021	September	60-69	"First dose, at least 21 days ago"	183	3681	5424.0		4625.2	6222.7
Non-COVID-19 deaths	2021	September	60-69	"Second dose, less than 21 days ago"	6	650	1133.0	u	408.1	2480.5
Non-COVID-19 deaths	2021	September	60-69	"Second dose, at least 21 days ago"	3205	407137	792.7		765.2	820.1
Non-COVID-19 deaths	2021	September	60-69	"Third dose or booster, less than 21 days ago"	5	1237	404.1	u	127.9	949.4
Non-COVID-19 deaths	2021	September	60-69	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	70-79	Unvaccinated	364	10051	3785.7		3392.5	4178.9
Non-COVID-19 deaths	2021	September	70-79	"First dose, less than 21 days ago"	<3	72	x		x	x
Non-COVID-19 deaths	2021	September	70-79	"First dose, at least 21 days ago"	236	1693	14271.6		12445.3	16097.8
Non-COVID-19 deaths	2021	September	70-79	"Second dose, less than 21 days ago"	3	222	1331.5	u	266.8	3909.8
Non-COVID-19 deaths	2021	September	70-79	"Second dose, at least 21 days ago"	7287	341193	2147.5		2098.2	2196.8
Non-COVID-19 deaths	2021	September	70-79	"Third dose or booster, less than 21 days ago"	10	1496	625.1	u	284.2	1174.6
Non-COVID-19 deaths	2021	September	70-79	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	80-89	Unvaccinated	370	4123	8873.5		7968.4	9778.7
Non-COVID-19 deaths	2021	September	80-89	"First dose, less than 21 days ago"	<3	27	x		x	x
Non-COVID-19 deaths	2021	September	80-89	"First dose, at least 21 days ago"	262	884	29156.6		25590.4	32722.7
Non-COVID-19 deaths	2021	September	80-89	"Second dose, less than 21 days ago"	5	91	5510.8	u	1786.6	12866.0
Non-COVID-19 deaths	2021	September	80-89	"Second dose, at least 21 days ago"	10626	159721	6609.8		6484.1	6735.5
Non-COVID-19 deaths	2021	September	80-89	"Third dose or booster, less than 21 days ago"	33	3628	912.0		627.8	1280.8
Non-COVID-19 deaths	2021	September	80-89	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	September	90+	Unvaccinated	226	1209	18695.1		16336.9	21298.1
Non-COVID-19 deaths	2021	September	90+	"First dose, less than 21 days ago"	<3	7	x		x	x
Non-COVID-19 deaths	2021	September	90+	"First dose, at least 21 days ago"	173	318	54467.0		46652.3	63216.0
Non-COVID-19 deaths	2021	September	90+	"Second dose, less than 21 days ago"	3	25	11806.4	u	2372.9	34496.2
Non-COVID-19 deaths	2021	September	90+	"Second dose, at least 21 days ago"	6842	35487	19280.2		18826.0	19742.6
Non-COVID-19 deaths	2021	September	90+	"Third dose or booster, less than 21 days ago"	26	573	4535.6		2962.0	6646.0
Non-COVID-19 deaths	2021	September	90+	"Third dose or booster, at least 21 days ago"	0	0	x		x	x
Non-COVID-19 deaths	2021	October	18-39	Unvaccinated	97	215176	46.8		37.8	57.2
Non-COVID-19 deaths	2021	October	18-39	"First dose, less than 21 days ago"	<3	6357	x		x	x
Non-COVID-19 deaths	2021	October	18-39	"First dose, at least 21 days ago"	46	67278	89.1		64.0	120.3
Non-COVID-19 deaths	2021	October	18-39	"Second dose, less than 21 days ago"	<3	24789	x		x	x
Non-COVID-19 deaths	2021	October	18-39	"Second dose, at least 21 days ago"	217	615560	34.8		30.2	39.5
Non-COVID-19 deaths	2021	October	18-39	"Third dose or booster, less than 21 days ago"	9	14873	53.3	u	23.4	102.8
Non-COVID-19 deaths	2021	October	18-39	"Third dose or booster, at least 21 days ago"	3	3521	73.3	u	15.1	214.1
Non-COVID-19 deaths	2021	October	40-49	Unvaccinated	95	60190	162.0		130.8	198.4
Non-COVID-19 deaths	2021	October	40-49	"First dose, less than 21 days ago"	<3	995	x		x	x
Non-COVID-19 deaths	2021	October	40-49	"First dose, at least 21 days ago"	64	12661	532.2		408.9	680.8
Non-COVID-19 deaths	2021	October	40-49	"Second dose, less than 21 days ago"	<3	2552	x		x	x
Non-COVID-19 deaths	2021	October	40-49	"Second dose, at least 21 days ago"	456	370604	121.5		110.4	132.7
Non-COVID-19 deaths	2021	October	40-49	"Third dose or booster, less than 21 days ago"	11	14638	72.0	u	35.7	129.2
Non-COVID-19 deaths	2021	October	40-49	"Third dose or booster, at least 21 days ago"	5	3833	136.5	u	43.5	320.0
Non-COVID-19 deaths	2021	October	50-59	Unvaccinated	218	39297	559.6		485.2	633.9
Non-COVID-19 deaths	2021	October	50-59	"First dose, less than 21 days ago"	<3	474	x		x	x
Non-COVID-19 deaths	2021	October	50-59	"First dose, at least 21 days ago"	118	7520	1584.6		1297.3	1871.9
Non-COVID-19 deaths	2021	October	50-59	"Second dose, less than 21 days ago"	4	1093	374.3	u	99.7	963.4
Non-COVID-19 deaths	2021	October	50-59	"Second dose, at least 21 days ago"	1503	460372	321.7		305.4	337.9
Non-COVID-19 deaths	2021	October	50-59	"Third dose or booster, less than 21 days ago"	35	28429	120.0		83.4	167.1
Non-COVID-19 deaths	2021	October	50-59	"Third dose or booster, at least 21 days ago"	12	7846	153.6	u	79.1	268.7
Non-COVID-19 deaths	2021	October	60-69	Unvaccinated	292	21805	1376.3		1216.9	1535.7
Non-COVID-19 deaths	2021	October	60-69	"First dose, less than 21 days ago"	<3	182	x		x	x
Non-COVID-19 deaths	2021	October	60-69	"First dose, at least 21 days ago"	158	3470	4797.1		4035.1	5559.0
Non-COVID-19 deaths	2021	October	60-69	"Second dose, less than 21 days ago"	3	445	880.2	u	181.5	2572.4
Non-COVID-19 deaths	2021	October	60-69	"Second dose, at least 21 days ago"	3349	388802	868.6		839.2	898.0
Non-COVID-19 deaths	2021	October	60-69	"Third dose or booster, less than 21 days ago"	109	28716	376.3		305.5	447.1
Non-COVID-19 deaths	2021	October	60-69	"Third dose or booster, at least 21 days ago"	24	6027	410.9		262.2	612.9
Non-COVID-19 deaths	2021	October	70-79	Unvaccinated	364	10321	3682.6		3300.2	4065.0
Non-COVID-19 deaths	2021	October	70-79	"First dose, less than 21 days ago"	<3	68	x		x	x
Non-COVID-19 deaths	2021	October	70-79	"First dose, at least 21 days ago"	219	1599	13942.1		12090.5	15793.7
Non-COVID-19 deaths	2021	October	70-79	"Second dose, less than 21 days ago"	10	163	6431.1	u	3065.1	11857.5
Non-COVID-19 deaths	2021	October	70-79	"Second dose, at least 21 days ago"	7304	272347	2772.1		2708.2	2836.0
Non-COVID-19 deaths	2021	October	70-79	"Third dose or booster, less than 21 days ago"	589	72352	773.0		708.5	837.5
Non-COVID-19 deaths	2021	October	70-79	"Third dose or booster, at least 21 days ago"	122	10050	1124.5		911.2	1337.8
Non-COVID-19 deaths	2021	October	80-89	Unvaccinated	374	4200	8780.5		7889.8	9671.3
Non-COVID-19 deaths	2021	October	80-89	"First dose, less than 21 days ago"	5	32	15724.6	u	5059.7	36787.0
